annee,boite,lieu,modele,moteur,nbr_km,photo,prix,version
06-2023,Automatique,SPOTICAR FELIX FAURE CARRIERES,Peugeot 3008,Hybride rechargeable,3 735 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-3008-2803202_1.JPG,47 900 €,Hybrid 225 e-EAT8 GT
09-2016,Manuelle,SPOTICAR EPINAL AUTO JMJ AUTOMOBILES,Peugeot 2008,Diesel,71 347 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-2008-2803201_1.JPG,14 390 €,1.6 BlueHDi 100ch BVM5 GT Line
06-2023,Automatique,SPOTICAR FELIX FAURE CARRIERES,DS 7,Hybride rechargeable,3 958 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/DS-DS-7-CROSSBACK-2803199_1.JPG,49 952 €,CROSSBACK Hybride Rechargeable E-Tense 225 EAT8 Bastille
07-2023,Automatique,SPOTICAR FELIX FAURE CARRIERES,Citroën C5 X,Hybride rechargeable,3 587 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C5-X-2803197_1.JPG,48 609 €,Hybride Rechargeable 225 S&S e-EAT8 Shine Pack
09-2020,Automatique,SPOTICAR STELLANTIS &YOU RONCQ,Peugeot 2008,Essence,43 694 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-2008-2803194_1.JPG,21 490 €,PureTech 130 S&S EAT8 Active
06-2023,Automatique,SPOTICAR FELIX FAURE CARRIERES,Peugeot 3008,Essence,9 679 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-3008-2803193_1.JPG,34 100 €,Puretech 130ch S&S EAT8 Allure Pack
05-2023,Automatique,SPOTICAR FELIX FAURE CARRIERES,Peugeot 3008,Essence,8 566 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-3008-2803191_1.JPG,34 100 €,Puretech 130ch S&S EAT8 Allure Pack
07-2023,Automatique,SPOTICAR FELIX FAURE CARRIERES,Citroën C5 Aircross,Essence,3 896 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C5-AIRCROSS-2803166_1.JPG,32 338 €,PureTech 130 S&S EAT8 Feel Pack
04-2020,Manuelle,SPOTICAR STELLANTIS &YOU RONCQ,Peugeot 208,Essence,61 331 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2803167_1.JPG,17 290 €,PureTech 100 S&S BVM6 GT Line
08-2022,Manuelle,SPOTICAR FELIX FAURE CARRIERES,Citroën C3,Essence,21 252 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-2803165_1.JPG,15 980 €,PureTech 83 S&S BVM5 Shine
07-2023,Automatique,SPOTICAR FELIX FAURE CARRIERES,Peugeot 5008,Essence,3 905 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-5008-2803160_1.JPG,39 100 €,PureTech 130ch S&S EAT8 Allure Pack
05-2023,Automatique,SPOTICAR FELIX FAURE CARRIERES,Peugeot 3008,Essence,7 730 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-3008-2803159_1.JPG,34 200 €,Puretech 130ch S&S EAT8 Allure Pack
07-2023,Automatique,SPOTICAR FELIX FAURE CARRIERES,Citroën C4 X,Essence,2 277 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C4-X-2803154_1.JPG,30 700 €,PureTech 130 S&S EAT8 Shine
07-2023,Automatique,SPOTICAR FELIX FAURE CARRIERES,Peugeot 508,Hybride rechargeable,2 713 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-508-2803153_1.JPG,51 550 €,SW Hybrid 225 e-EAT8 GT
03-2017,Automatique,SPOTICAR STELLANTIS &YOU RONCQ,Peugeot 3008,Essence,52 725 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-3008-2803150_1.JPG,20 490 €,1.2 Puretech 130ch S&S EAT6 Allure
06-2023,Automatique,SPOTICAR FELIX FAURE CARRIERES,Peugeot 5008,Essence,6 688 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-5008-2803149_1.JPG,38 650 €,PureTech 130ch S&S EAT8 Allure Pack
07-2023,Automatique,SPOTICAR FELIX FAURE CARRIERES,Peugeot 5008,Essence,4 595 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-5008-2803148_1.JPG,39 000 €,PureTech 130ch S&S EAT8 Allure Pack
06-2023,Automatique,SPOTICAR FELIX FAURE CARRIERES,Peugeot 5008,Essence,5 416 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-5008-2803141_1.JPG,38 800 €,PureTech 130ch S&S EAT8 Allure Pack
06-2023,Automatique,SPOTICAR FELIX FAURE CARRIERES,Citroën C4 X,Essence,4 972 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C4-X-2803137_1.JPG,30 685 €,PureTech 130 S&S EAT8 Shine
10-2017,Automatique,SPOTICAR STELLANTIS &YOU RONCQ,Renault Koleos,Diesel,94 580 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/RENAULT-KOLEOS-2803130_1.JPG,18 990 €,dCi 175 4x2 X-tronic Energy Zen
07-2023,Automatique,SPOTICAR FELIX FAURE CARRIERES,Citroën C4 X,Essence,4 905 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C4-X-2803128_1.JPG,30 688 €,PureTech 130 S&S EAT8 Shine
04-2019,Manuelle,SPOTICAR STELLANTIS &YOU RONCQ,Citroën C5 Aircross,Essence,67 749 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C5-AIRCROSS-2803126_1.JPG,18 790 €,PURETECH 130 S&S BVM6 FEEL
06-2023,Automatique,SPOTICAR FELIX FAURE CARRIERES,Peugeot 5008,Diesel,5 213 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-5008-2803125_1.JPG,40 350 €,BlueHDi 130ch S&S EAT8 Allure Pack
10-2022,Automatique,SPOTICAR STELLANTIS &YOU RONCQ,Citroën C5 X,Essence,2 347 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C5-X-2803119_1.JPG,27 990 €,PureTech 130 S&S EAT8 Shine
10-2022,Automatique,SPOTICAR FELIX FAURE CARRIERES,DS 7,Hybride rechargeable,21 024 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/DS-DS-7-CROSSBACK-2803116_1.JPG,54 511 €,CROSSBACK Crossback Hybride E-Tense 300 EAT8 4x4 Performance
06-2023,Automatique,SPOTICAR FELIX FAURE CARRIERES,Peugeot 3008,Diesel,6 937 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-3008-2803117_1.JPG,35 900 €,BlueHDi 130ch S&S EAT8 Allure Pack
06-2023,Automatique,SPOTICAR FELIX FAURE CARRIERES,Citroën C5 X,Hybride rechargeable,7 667 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C5-X-2803112_1.JPG,45 450 €,Hybride Rechargeable 225 S&S e-EAT8 Shine
01-2023,Manuelle,SPOTICAR FELIX FAURE CARRIERES,Peugeot 3008,Essence,23 421 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-3008-2803113_1.JPG,29 724 €,Puretech 130ch S&S BVM6 Allure Pack
07-2023,Automatique,SPOTICAR FELIX FAURE CARRIERES,Peugeot 3008,Diesel,5 775 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-3008-2803109_1.JPG,36 150 €,BlueHDi 130ch S&S EAT8 Allure Pack
05-2021,Manuelle,SPOTICAR STELLANTIS &YOU RONCQ,Citroën C3 Aircross,Essence,24 264 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-AIRCROSS-2803111_1.JPG,18 490 €,PURETECH 110 S&S BVM6 SHINE
10-2022,Manuelle,SPOTICAR FELIX FAURE CARRIERES,Citroën C3,Essence,10 982 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-2803096_1.JPG,18 475 €,PureTech 110 S&S BVM6 shine
05-2022,Automatique,SPOTICAR STELLANTIS &YOU CESSON RUE DE RENNES,Peugeot 208,Electrique,7 028 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2803012_1.JPG,26 990 €,Electrique 50 kWh 136ch Allure Pack
10-2021,Manuelle,SPOTICAR STELLANTIS &YOU CESSON RUE DE RENNES,Peugeot 2008,Essence,44 434 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-2008-2803011_1.JPG,21 990 €,PureTech 130 S&S BVM6 Allure Pack
06-2016,Manuelle,SPOTICAR STELLANTIS &YOU RONCQ,Peugeot 2008,Essence,106 685 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-2008-2802977_1.JPG,11 990 €,1.2 PureTech 110ch S&S BVM5 GT Line
06-2018,Manuelle,SPOTICAR STELLANTIS &YOU RONCQ,Citroën C3,Essence,39 508 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-2802984_1.JPG,11 290 €,PureTech 68 Feel
06-2022,Automatique,SPOTICAR STELLANTIS &YOU LA DEFENSE,Peugeot 308,Diesel,19 915 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-308-2802956_1.JPG,30 970 €,BlueHDi 130ch S&S EAT8 Allure Pack
07-2018,Manuelle,SPOTICAR VESOUL JMJ AUTOMOBILES,Citroën Spacetourer,Diesel,105 889 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-SPACETOURER-2802951_1.JPG,27 980 €,M BlueHDi 115 S&S BVM6 Business
11-2017,Automatique,SPOTICAR STELLANTIS &YOU LA DEFENSE,Peugeot 208,Essence,104 524 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2802935_1.JPG,11 970 €,1.2 PureTech 110ch S&S EAT6 Roland Garros
01-2020,Manuelle,SPOTICAR STELLANTIS &YOU LYON RILLIEUX LA PAPE,Citroën C4,Diesel,91 207 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C4-2802871_1.JPG,17 889 €,Spacetourer BlueHDi 130 S&S BVM6 Origins
04-2021,Manuelle,SPOTICAR STELLANTIS &YOU LYON RILLIEUX LA PAPE,Citroën C3,Diesel,54 627 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-2802866_1.JPG,11 789 €,BlueHDi 100 S&S BVM6 FEEL
10-2017,Manuelle,SPOTICAR STELLANTIS &YOU LYON RILLIEUX LA PAPE,Peugeot 308,Essence,76 831 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-308-2802862_1.JPG,14 289 €,1.2 PureTech 130ch S&S BVM6 Allure
06-2021,Automatique,DS SALON MILLAU,DS 3,Diesel,51 100 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/DS-DS-3-CROSSBACK-2802739_1.JPG,23 990 €,CROSSBACK 3 Crossback BlueHDi 130 EAT8 Performance Line
09-2018,Manuelle,SPOTICAR STELLANTIS &YOU MALAKOFF,Peugeot 308,Essence,34 857 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-308-2794573_1.JPG,17 970 €,1.2 PureTech 130ch S&S BVM6 GT Line
06-2023,Manuelle,SPOTICAR FELIX FAURE CARRIERES,Peugeot 2008,Essence,4 345 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-2008-2803095_1.JPG,26 498 €,PureTech 130 S&S BVM6 Allure Pack
11-2017,Automatique,None,Peugeot 3008,Diesel,130 051 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-3008-2803093_1.JPG,16 590 €,1.6 BlueHDi 120ch S&S EAT6 Active Business
02-2021,Manuelle,None,Citroën Berlingo,Diesel,128 015 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-BERLINGO-2803091_1.JPG,14 990 €,VAN M 650 BLUEHDI 100 S&S BVM5 DRIVER
06-2023,Manuelle,SPOTICAR FELIX FAURE CARRIERES,Peugeot 2008,Essence,4 400 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-2008-2803092_1.JPG,27 350 €,PureTech 130 S&S BVM6 Allure Pack
06-2023,Automatique,SPOTICAR FELIX FAURE CARRIERES,Citroën C5 X,Hybride rechargeable,5 691 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C5-X-2803071_1.JPG,45 250 €,Hybride Rechargeable 225 S&S e-EAT8 Shine Pack
12-2018,Manuelle,SPOTICAR STELLANTIS &YOU LYON Vénissieux,Ford Fiesta,Diesel,65 105 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/FORD-FIESTA-2803069_1.JPG,14 289 €,1.5 TDCi 120 ch S&S BVM6 ST-Line
06-2023,Automatique,SPOTICAR FELIX FAURE CARRIERES,Citroën C4,Diesel,4 203 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C4-2803065_1.JPG,31 800 €,BlueHDi 130 S&S EAT8 Shine
06-2023,Automatique,SPOTICAR FELIX FAURE CARRIERES,Citroën C5 Aircross,Hybride rechargeable,4 947 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C5-AIRCROSS-2803061_1.JPG,44 050 €,Hybride rechargeable 225 e-EAT8 Shine
10-2020,Manuelle,SPOTICAR STELLANTIS &YOU LYON ECULLY,Citroën C3,Essence,49 801 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-2803059_1.JPG,15 689 €,PureTech 110 S&S BVM6 C-Series
06-2020,Automatique,SPOTICAR STELLANTIS &YOU LYON RILLIEUX LA PAPE,Citroën C4,Essence,53 176 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C4-2803054_1.JPG,25 789 €,Grand C4 Spacetourer PureTech 130 S&S EAT8 Shine P
09-2022,Manuelle,SPOTICAR CLARA AUTOMOBILES SAINT NAZAIRE,Peugeot 208,Essence,21 187 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2803025_1.JPG,16 990 €,PureTech 75 S&S BVM5 Style
04-2021,Manuelle,SPOTICAR STELLANTIS &YOU LYON Vénissieux,Peugeot Partner,Diesel,34 171 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-PARTNER-2803024_1.JPG,18 789 €,FOURGON STANDARD 650 KG BLUEHDI 100 S&S BVM5 ASPHA
01-2022,Automatique,SPOTICAR PICARD RAMONVILLE,Peugeot 208,Essence,14 080 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2802386_1.JPG,23 990 €,1.2 PureTech 100ch S&S GT EAT8
08-2020,Manuelle,SPOTICAR PICARD AUTOS 33 LIBOURNE,Peugeot 108,Essence,40 419 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-108-2802385_1.JPG,12 990 €,VTi 72 Style S&S 4cv 5p
09-2018,Automatique,SPOTICAR AUTOBERNARD GRENOBLE,Peugeot 3008,Essence,101 402 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-3008-2802222_1.JPG,18 177 €,1.2 PureTech 130ch Allure Business S&S EAT6
03-2019,Manuelle,SPOTICAR AUTOBERNARD REIMS,Citroën C3 Aircross,Essence,22 600 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-AIRCROSS-2802215_1.JPG,16 823 €,PureTech 110ch S&S Rip Curl E6.d-TEMP
07-2021,Manuelle,SPOTICAR AUTOBERNARD REIMS,Citroën C3,Essence,10 700 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-2802212_1.JPG,14 838 €,1.2 PureTech 83ch S&S Shine
04-2021,Manuelle,SPOTICAR AUTOBERNARD REIMS,Citroën C3,Essence,24 200 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-2802213_1.JPG,13 980 €,1.2 PureTech 83ch S&S Shine
07-2021,Manuelle,SPOTICAR AUTOBERNARD REIMS,Citroën C3,Essence,9 900 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-2802211_1.JPG,14 866 €,1.2 PureTech 83ch S&S Shine
07-2021,Automatique,SPOTICAR AUTOBERNARD GRENOBLE,Peugeot 3008,Hybride rechargeable,12 441 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-3008-2802207_1.JPG,33 480 €,HYBRID 225ch Allure e-EAT8
11-2020,Manuelle,SPOTICAR AUTOBERNARD REIMS,Citroën C3,Essence,24 500 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-2802210_1.JPG,13 980 €,1.2 PureTech 83ch S&S Shine
12-2016,Manuelle,SPOTICAR AUTOBERNARD GRENOBLE,Fiat 500X,Essence,74 897 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/FIAT-500X-2802206_1.JPG,13 498 €,1.4 MultiAir 16v 140ch Lounge
07-2020,Manuelle,SPOTICAR AUTOBERNARD CHAMBERY,Citroën C3,Diesel,60 425 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-2802163_1.JPG,13 980 €,1.5 BlueHDi 100ch S&S Shine Business
09-2021,Automatique,SPOTICAR AUTOBERNARD CHALON,Citroën C5 Aircross,Hybride rechargeable,46 683 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C5-AIRCROSS-2802157_1.JPG,28 989 €,Hybrid 225ch Shine e-EAT8
05-2019,Automatique,SPOTICAR STELLANTIS &YOU LYON Vénissieux,Peugeot 308,Essence,70 795 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-308-2794235_1.JPG,15 789 €,PureTech 130ch S&S EAT8 Allure
01-2020,Automatique,SPOTICAR STELLANTIS &YOU TOULOUSE MONTAUDRAN,Peugeot 208,Electrique,44 564 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2781311_1.JPG,19 450 €,Electrique 50 kWh 136ch Active
03-2019,Automatique,SPOTICAR STELLANTIS &YOU MALAKOFF,Hyundai Ioniq,Hybride,36 157 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/HYUNDAI-IONIQ-2773479_1.JPG,21 980 €,HYBRID 141 CH Executive
01-2020,Manuelle,SPOTICAR G. NEDELEC BREST,Peugeot 5008,Essence,66 220 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-5008-2802595_1.JPG,25 490 €,1.2 PureTech 130ch S&S Active Business
10-2022,Automatique,SPOTICAR G. NEDELEC BREST,Peugeot 5008,Diesel,32 476 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-5008-2802584_1.JPG,35 990 €,1.5 BlueHDi 130ch S&S Roadtrip EAT8
04-2023,Automatique,SPOTICAR AUTOBERNARD ALBERTVILLE,Peugeot 5008,Diesel,14 000 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-5008-2802546_1.JPG,46 980 €,1.5 BlueHDi 130ch S&S GT EAT8
03-2023,Automatique,SPOTICAR AUTOBERNARD ALBERTVILLE,Peugeot 308 SW,Essence,1 500 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-308-SW-2802544_1.JPG,33 980 €,1.2 PureTech 130ch S&S GT EAT8
05-2023,Automatique,SPOTICAR AUTOBERNARD ALBERTVILLE,Peugeot 5008,Diesel,150 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-5008-2802541_1.JPG,44 980 €,1.5 BlueHDi 130ch S&S Allure Pack EAT8
12-2018,Manuelle,SPOTICAR MIDI AUTO 27 NORMANVILLE,Dacia Sandero,Essence,66 678 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/DACIA-SANDERO-2802517_1.JPG,10 990 €,1.0 SCe 75ch Ambiance 4cv
06-2018,Manuelle,SPOTICAR MIDI AUTO 27 NORMANVILLE,Citroën C3 Aircross,Diesel,90 022 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-AIRCROSS-2802515_1.JPG,14 590 €,BLUEHDI 100CH S&S FEEL E6.D-TEMP
05-2019,Manuelle,SPOTICAR AUTOBERNARD BOURGOIN JALLIEU,Citroën C3 Aircross,Essence,79 261 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-AIRCROSS-2802514_1.JPG,13 479 €,PureTech 110ch S&S Shine E6.d 6cv
03-2021,Automatique,SPOTICAR AUTOBERNARD BOURGOIN JALLIEU,Citroën C5 Aircross,Essence,36 181 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C5-AIRCROSS-2802509_1.JPG,24 979 €,PureTech 130ch S&S Feel EAT8 E6.d
08-2022,Manuelle,SPOTICAR AUTOBERNARD CHALON,Citroën C3,Essence,19 180 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-2802156_1.JPG,14 989 €,1.2 PureTech 83ch S&S Feel Pack
09-2020,Manuelle,SPOTICAR AUTOBERNARD CHALON,Citroën C3,Diesel,75 812 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-2802154_1.JPG,12 279 €,1.5 BlueHDi 100ch S&S Feel Business
02-2022,Automatique,SPOTICAR CLARA AUTOMOBILES FONTENAY LE COMTE,Peugeot 2008,Essence,18 923 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-2008-2802007_1.JPG,25 490 €,PureTech 130 S&S EAT8 Style
11-2022,Manuelle,SPOTICAR CLARA AUTOMOBILES ST GGES DE DIDONNE,Peugeot 308,Essence,21 796 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-308-2802004_1.JPG,22 990 €,PureTech 110ch S&S BVM6 Active Pack
10-2022,Manuelle,SPOTICAR CLARA AUTOMOBILES ST GGES DE DIDONNE,Peugeot 208,Essence,13 640 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2802003_1.JPG,17 690 €,PureTech 75 S&S BVM5 Style
03-2022,Manuelle,SPOTICAR STELLANTIS &YOU LYON CARRE DE SOIE,Ford Puma,Essence,17 650 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/FORD-PUMA-2801995_1.JPG,23 489 €,1.0 Flexifuel 125 ch mHEV S&S BVM6 ST-Line
10-2020,Automatique,SPOTICAR STELLANTIS &YOU LYON CARRE DE SOIE,Citroën C3,Essence,20 187 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-2801989_1.JPG,16 889 €,PureTech 110 S&S EAT6 Shine
01-2016,Manuelle,SPOTICAR STELLANTIS &YOU LYON CARRE DE SOIE,Peugeot 208,Essence,50 750 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2801987_1.JPG,12 189 €,1.2 PureTech 110ch S&S BVM5 GT Line
03-2019,Manuelle,SPOTICAR STELLANTIS &YOU LYON CARRE DE SOIE,Peugeot 3008,Diesel,151 944 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-3008-2801982_1.JPG,14 589 €,BlueHDi 130ch S&S BVM6 Active Business
10-2021,Manuelle,SPOTICAR STELLANTIS &YOU LYON CARRE DE SOIE,Peugeot 2008,Essence,49 872 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-2008-2801965_1.JPG,16 789 €,PureTech 100 S&S BVM6 Active Business
09-2020,Manuelle,SPOTICAR STELLANTIS &YOU CESSON RUE DE RENNES,Peugeot 208,Essence,65 550 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2801947_1.JPG,14 490 €,PureTech 75 S&S BVM5 Active Business
03-2018,Manuelle,SPOTICAR STELLANTIS &YOU CESSON RUE DE RENNES,Peugeot 3008,Essence,99 793 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-3008-2801946_1.JPG,17 900 €,1.2 Puretech 130ch S&S BVM6 Allure
07-2020,Automatique,SPOTICAR STELLANTIS &YOU CESSON RUE DE RENNES,Peugeot 2008,Essence,46 665 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-2008-2801944_1.JPG,22 890 €,PureTech 130 S&S EAT8 Allure
02-2021,Manuelle,SPOTICAR CLARA AUTOMOBILES COGNAC,Peugeot 2008,Essence,46 763 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-2008-2801942_1.JPG,18 990 €,PureTech 100 S&S BVM6 Active
03-2023,Manuelle,SPOTICAR DIJON JMJ AUTOMOBILES,Citroën C3,Essence,26 424 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-2801931_1.JPG,16 990 €,PureTech 83 S&S BVM5 Shine
03-2023,Manuelle,SPOTICAR DIJON JMJ AUTOMOBILES,Citroën C3,Essence,8 365 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-2801929_1.JPG,17 990 €,PureTech 83 S&S BVM5 Shine
