annee,boite,lieu,modele,moteur,nbr_km,photo,prix,version
11-2019,Manuelle,SPOTICAR EPINAL AUTO JMJ AUTOMOBILES,Citroën C3,Essence,48 515 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-2813576_1.JPG,13 890 €,PureTech 110 S&S BVM6 Graphic
12-2019,Manuelle,SPOTICAR EPINAL AUTO JMJ AUTOMOBILES,Ford Fiesta,Essence,48 012 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/FORD-FIESTA-2813574_1.JPG,12 490 €,1.1 85 CH BVM5 Cool & Connect
02-2020,Automatique,SPOTICAR STELLANTIS &YOU MALAKOFF,Peugeot 308,Diesel,34 941 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-308-2813556_1.JPG,25 170 €,BlueHDi 180ch S&S EAT8 GT
11-2021,Manuelle,SPOTICAR STELLANTIS &YOU LYON Vénissieux,Dacia Sandero,Essence,3 796 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/DACIA-SANDERO-2813550_1.JPG,16 789 €,ECO-G 100 Stepway Confort
10-2019,Manuelle,SPOTICAR STELLANTIS &YOU LYON Vénissieux,Nissan Qashqai,Essence,56 624 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/NISSAN-QASHQAI-2813548_1.JPG,19 689 €,1.3 DIG-T 140 N-Connecta
08-2023,Manuelle,SPOTICAR CMOBILITY FIGEAC,Citroën C3 Aircross,Essence,5 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-AIRCROSS-2813569_1.JPG,23 690 €,PURETECH 110 S&S BVM6 SHINE
09-2013,Manuelle,SPOTICAR STELLANTIS &YOU MALAKOFF,DS 3,Essence,97 767 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/DS-DS-3-2813565_1.JPG,8 670 €,VTi 82 PureTech Chic
04-2023,Automatique,SPOTICAR GEMY LAVAL,Peugeot 408,Essence,7 019 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-408-2813539_1.JPG,30 985 €,PureTech 130 ch S&S EAT8 Allure Pack
10-2020,Automatique,SPOTICAR STELLANTIS &YOU PARIS GRENELLE,Peugeot 508,Hybride rechargeable,72 044 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-508-2813541_1.JPG,27 870 €,Hybrid 225 e-EAT8 GT
04-2023,Automatique,SPOTICAR GEMY LAVAL,Peugeot 308,Essence,14 369 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-308-2813538_1.JPG,31 985 €,SW PureTech 130ch S&S EAT8 GT
06-2021,Automatique,SPOTICAR STELLANTIS &YOU AMIENS,Citroën C5 Aircross,Hybride rechargeable,26 917 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C5-AIRCROSS-2813511_1.JPG,28 990 €,Hybride Rechargeable 225 S&S e-EAT8 C-Series
06-2020,Automatique,SPOTICAR STELLANTIS &YOU AMIENS,Peugeot 2008,Essence,49 276 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-2008-2813509_1.JPG,21 990 €,PureTech 130 S&S EAT8 Allure
01-2021,Manuelle,SPOTICAR STELLANTIS &YOU ROUEN,Peugeot 308,Diesel,116 411 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-308-2813494_1.JPG,14 590 €,BlueHDi 130ch S&S BVM6 Active Business
01-2020,Automatique,SPOTICAR STELLANTIS &YOU ROUEN,Citroën C3 Aircross,Diesel,60 742 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-AIRCROSS-2813492_1.JPG,18 290 €,BlueHDi 120 S&S EAT6 Shine
10-2017,Automatique,SPOTICAR STELLANTIS &YOU ROUEN,Citroën C3,Essence,20 000 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-2813487_1.JPG,14 790 €,PureTech 110 S&S EAT6 Feel
09-2020,Automatique,SPOTICAR STELLANTIS &YOU ROUEN,Citroën C4 Cactus,Essence,22 068 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C4-CACTUS-2813488_1.JPG,19 190 €,PureTech 130 S&S EAT6 Shine
08-2022,Manuelle,SPOTICAR STELLANTIS &YOU ROUEN,Peugeot 208,Essence,17 137 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2813477_1.JPG,18 790 €,PureTech 100 S&S BVM6 Style
03-2023,Manuelle,SPOTICAR STELLANTIS &YOU ROUEN,Citroën C5 Aircross,Essence,11 163 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C5-AIRCROSS-2813473_1.JPG,25 390 €,PURETECH 130 S&S BVM6 FEEL
06-2020,Manuelle,SPOTICAR STELLANTIS &YOU VILLENEUVE D'ASCQ,Peugeot 208,Essence,31 135 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2813468_1.JPG,17 990 €,PureTech 100 S&S BVM6 Allure
01-2018,Manuelle,SPOTICAR STELLANTIS &YOU VILLENEUVE D'ASCQ,Peugeot 2008,Essence,60 300 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-2008-2813466_1.JPG,14 290 €,1.2 PureTech 110ch S&S BVM5 Allure
08-2021,Manuelle,SPOTICAR STELLANTIS &YOU VILLENEUVE D'ASCQ,Renault Captur,Essence,31 661 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/RENAULT-CAPTUR-2813461_1.JPG,17 490 €,TCe 90 - 21 Business
05-2016,Manuelle,SPOTICAR STELLANTIS &YOU VILLENEUVE D'ASCQ,Citroën C4 Cactus,Essence,71 290 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C4-CACTUS-2813456_1.JPG,10 990 €,PureTech 82 Feel
10-2017,Automatique,SPOTICAR STELLANTIS &YOU ROUEN,Peugeot 308,Essence,68 911 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-308-2813410_1.JPG,16 790 €,1.2 PureTech 130ch S&S EAT6 GT Line
10-2020,Manuelle,SPOTICAR STELLANTIS &YOU LYON Vénissieux,Citroën C3,Essence,41 253 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C3-2813409_1.JPG,14 989 €,PureTech 110 S&S BVM6 Feel Pack
12-2017,Automatique,SPOTICAR STELLANTIS &YOU ROUEN,Peugeot 3008,Essence,42 010 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-3008-2813406_1.JPG,23 490 €,1.6 THP 165ch S&S EAT6 Crossway
06-2016,Manuelle,SPOTICAR STELLANTIS &YOU ROUEN,Peugeot 2008,Essence,98 506 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-2008-2813403_1.JPG,10 990 €,1.2 PureTech 82ch BVM5 Style
02-2020,Manuelle,SPOTICAR STELLANTIS &YOU ROUEN,Peugeot 308,Essence,42 941 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-308-2813400_1.JPG,18 690 €,PureTech 130ch S&S BVM6 Tech Edition
07-2022,Manuelle,SPOTICAR STELLANTIS &YOU ROUEN,Peugeot 208,Essence,27 488 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2813388_1.JPG,17 890 €,PureTech 100 S&S BVM6 Style
08-2022,Manuelle,SPOTICAR STELLANTIS &YOU ROUEN,Peugeot 208,Essence,11 325 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2813377_1.JPG,18 790 €,PureTech 100 S&S BVM6 Style
08-2022,Manuelle,SPOTICAR STELLANTIS &YOU ROUEN,Peugeot 208,Essence,7 501 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2813363_1.JPG,19 290 €,PureTech 100 S&S BVM6 Allure
08-2022,Manuelle,SPOTICAR STELLANTIS &YOU ROUEN,Peugeot 208,Essence,13 428 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2813365_1.JPG,18 990 €,PureTech 100 S&S BVM6 Allure
08-2022,Manuelle,SPOTICAR STELLANTIS &YOU ROUEN,Peugeot 208,Essence,14 070 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2813361_1.JPG,18 960 €,PureTech 100 S&S BVM6 Allure
08-2020,Manuelle,SPOTICAR STELLANTIS &YOU MARIGNANE,Citroën C1,Essence,23 326 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/CITROEN-C1-2813357_1.JPG,10 890 €,VTi 72 S&S Feel
08-2022,Manuelle,SPOTICAR STELLANTIS &YOU ROUEN,Peugeot 208,Essence,15 894 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-208-2813339_1.JPG,17 990 €,PureTech 100 S&S BVM6 Style
10-2020,Manuelle,SPOTICAR STELLANTIS &YOU VILLENEUVE D'ASCQ,Peugeot 2008,Essence,55 914 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-2008-2813337_1.JPG,18 990 €,PureTech 100 S&S BVM6 Active Business
12-2020,Automatique,SPOTICAR STELLANTIS &YOU AULNAY-SOUS-BOIS,Peugeot 5008,Diesel,46 529 km,https://s3.eu-central-1.amazonaws.com/uvpictures-eu-central-1/368/SP/FR/PEUGEOT-5008-2813338_1.JPG,31 970 €,BlueHDi 130ch S&S EAT8 Allure Pack
